12,47,191,182,51,2677,386,492,171,47,1739,62
65,0,1,0,0,12,1,0,0,0,0,0
295A,2,1,0,1,139,2,6,4,1,32,0
300,2,8,2,9,380,6,27,18,2,401,3
20B,9,6,6,7,297,56,273,14,5,292,10
13I,54,119,99,37,1591,237,442,129,56,1117,52
29,78,162,169,88,6180,366,725,256,47,3306,99
96A,5,7,1,9,192,7,34,7,5,103,0
227D,1,3,3,4,139,7,31,7,2,62,1
265,10,36,16,43,612,45,299,39,25,1786,26
229,27,41,15,74,1236,59,208,64,19,1380,17
287,1,1,0,4,20,1,3,0,1,32,1
288A,0,3,1,1,30,3,2,0,0,82,0
368,0,1,4,118,136,0,13,2,2,176,2
344,71,78,92,106,4090,263,515,119,47,1940,66
351A,7,10,1,10,161,17,22,16,1,195,3
118,46,32,35,57,1578,98,348,114,29,1010,27
81,0,0,1,2,28,2,3,0,0,6,0
116,12,7,10,21,358,8,161,18,7,344,11
12E,31,102,86,25,1135,147,257,74,36,1315,21
14A,119,269,302,112,3648,628,1642,382,148,3908,112
47,1,4,0,0,12,1,13,2,0,22,0
11J,188,408,554,60,6039,854,1244,324,77,1934,124
138,7,5,2,11,145,5,61,11,1,255,1
323,44,45,71,29,1815,106,327,59,17,1735,25
357,4,14,17,9,919,31,56,31,9,354,10
263A,2,2,2,6,14,4,1,2,3,26,2
252,29,14,23,47,2262,35,139,45,12,1068,19
68,0,0,0,2,74,1,2,3,0,75,4
82,5,4,9,5,181,9,61,13,4,117,3
26,86,84,95,100,3523,313,890,189,48,2945,63
103,0,1,0,1,19,1,4,1,0,18,0
137,1,2,9,11,305,2,21,10,1,187,2
347A,2,2,5,1,94,0,4,0,1,82,2
4C,37,149,206,15,1393,194,301,75,22,686,33
156,533,707,571,335,19258,1563,3716,754,193,6966,334
224,0,0,0,0,5,1,3,0,0,4,0
80,1,4,3,18,167,7,31,6,3,180,2
279,89,110,309,167,6627,233,821,215,153,5460,86
15A,0,2,0,0,51,3,38,7,3,92,2
139,0,0,0,0,0,0,0,0,0,0,0
150,139,207,211,138,5382,760,1862,304,159,3557,184
126,25,25,23,56,2005,71,211,84,17,1773,27
9G,76,133,201,20,2049,246,382,91,26,481,32
18,5,22,17,22,469,24,72,13,6,201,5
201A,0,0,1,0,72,3,0,0,1,27,1
61,25,47,46,80,2194,79,600,85,25,1253,39
133,111,212,108,168,8310,274,1276,246,73,4752,106
14K,40,80,73,19,1170,199,267,82,23,564,26
9A,46,106,131,18,1904,227,321,87,16,539,37
5G,145,330,396,55,4594,721,1026,248,45,1834,82
334,0,0,0,0,0,0,0,0,0,0,0
8C,99,203,165,36,2789,354,561,144,38,1277,62
352A,0,2,0,4,27,1,1,1,1,92,2
206,1,0,0,0,31,1,0,0,1,2,0
4E,10,45,25,13,446,98,159,43,19,477,13
332,0,2,0,1,203,0,5,3,3,129,0
225A,0,0,0,0,4,0,3,0,1,17,0
317,2,6,3,0,104,16,32,5,3,75,1
58,1,3,6,2,56,2,2,3,1,122,0
324,13,27,19,6,377,32,102,28,26,293,14
