parCodigo,parSiglas,parDenominacion,parColor
"3193","FRENTE IGUALDAD ANIMAL   ","FRENTE IGUALDAD ANIMAL                                                                              ","52252e"
"3194","LA HORA DEL PUEBLO       ","LA HORA DEL PUEBLO                                                                                  ","113edd"
"3195","NI UNA -                 ","NI UNA -                                                                                            ","627ec7"
"3196","NUEVA PROVINCIA          ","NUEVA PROVINCIA                                                                                     ","8f83d1"
"3197","POR LOS POBRES           ","POR LOS POBRES                                                                                      ","612b5e"
"3198","UNIDOS POR LA LIBERTAD   ","UNIDOS POR LA LIBERTAD                                                                              ","37d0b4"
"3199","VAMOS POR MAS            ","VAMOS POR MAS                                                                                       ","003488"
"3200","SUMA +                   ","SUMA +                                                                                              ","b9324d"
"3201","VAMOS JUNTOS             ","VAMOS JUNTOS                                                                                        ","fcf0ec"
"3202","UNIDAD                   ","UNIDAD                                                                                              ","ce45a3"
"3203","1PROVINCIA               ","1PROVINCIA                                                                                          ","df59e4"
"3204","CAMBIANDO JUNTOS         ","CAMBIANDO JUNTOS                                                                                    ","1d46eb"
"3205","CAMBIAR LA PAMPA         ","CAMBIAR LA PAMPA                                                                                    ","ff044b"
"3206","JUNTOS POR LA PAMPA      ","JUNTOS POR LA PAMPA                                                                                 ","5f89a0"
"3207","RENOVACION Y CAMBIO      ","RENOVACION Y CAMBIO                                                                                 ","06208e"
"3208","CORRIENTE PROVINCIAL KIRC","CORRIENTE PROVINCIAL KIRCHNERISTA                                                                   ","5ad4a1"
"3209","HONESTIDAD, TRABAJO Y JUS","HONESTIDAD, TRABAJO Y JUSTICIA SOCIAL                                                               ","0a8473"
"3210","LA DOS                   ","LA DOS                                                                                              ","1d8539"
"3211","LA MARIA EVA             ","LA MARIA EVA                                                                                        ","e8032b"
"3212","SOCIALISTAS UNIDOS       ","SOCIALISTAS UNIDOS                                                                                  ","eb0863"
"3213","TRES BANDERAS            ","TRES BANDERAS                                                                                       ","e47ea6"
"3214","POR SIEMPRE CHUBUT       ","POR SIEMPRE CHUBUT                                                                                  ","f969da"
"3215","UNIDAD CIUDADANA PARA  LA","UNIDAD CIUDADANA PARA  LA VICTORIA                                                                  ","07672f"
"3216","INTEGRACION Y PARTICIPACI","INTEGRACION Y PARTICIPACION                                                                         ","eeaca1"
