parCodigo,parSiglas,parDenominacion,parColor
"3439","NUEVA ACCION             ","NUEVA ACCION                                                                                        ","ce8697"
"3440","LTA.ENCUENTRO POR LA IGUA","LTA.ENCUENTRO POR LA IGUALDAD                                                                       ","02f94e"
"3441","CONSTRUYENDO FUTURO      ","CONSTRUYENDO FUTURO                                                                                 ","671284"
"3442","COMPROMISO VECINAL LA COS","COMPROMISO VECINAL LA COSTA                                                                         ","4a3295"
"3443","MOV.PARA LA VICTORIA     ","MOV.PARA LA VICTORIA                                                                                ","1f74ac"
"3444","AZUL                     ","AZUL                                                                                                ","d3697e"
"3445","VALORES                  ","VALORES                                                                                             ","b5d597"
"3446","LISTA 1                  ","LISTA 1                                                                                             ","3585d3"
"3447","FUERZA VECINAL PARA EL CA","FUERZA VECINAL PARA EL CAMBIO SOCIAL                                                                ","44326b"
"3448","EQUIPO DE GOBIERNO       ","EQUIPO DE GOBIERNO                                                                                  ","588956"
"3449","FRENTE DE UNIDAD NACIENTE","FRENTE DE UNIDAD NACIENTE                                                                           ","0cb266"
"9997","OTROS                    ","OTROS                                                                                               ","aeaeae"
